municipality,group,variable,month,Nro.,Nro. Afectados,Nro. Fallecidos,TOTAL
YAPACANI,registro de eventos de notificacion inmediata,inundacion,2014-02-01,264.0,1193.0,0.0,1457.0
GUAYARAMERIN,registro de eventos de notificacion inmediata,inundacion,2014-03-01,1.0,38.0,0.0,39.0
MAGDALENA,registro de eventos de notificacion inmediata,inundacion,2014-03-01,3.0,454.0,0.0,457.0
PUERTO GONZALO MORENO,registro de eventos de notificacion inmediata,inundacion,2014-03-01,2.0,8.0,0.0,10.0
RIBERALTA,registro de eventos de notificacion inmediata,inundacion,2014-03-01,1.0,291.0,0.0,292.0
SAN JUAN DE YAPACANI,registro de eventos de notificacion inmediata,inundacion,2014-03-01,11.0,66.0,0.0,77.0
SANTA CRUZ DE LA SIERRA,registro de eventos de notificacion inmediata,inundacion,2014-03-01,0.0,597.0,0.0,597.0
SENA,registro de eventos de notificacion inmediata,inundacion,2014-03-01,2.0,14.0,0.0,16.0
MAGDALENA,registro de eventos de notificacion inmediata,inundacion,2014-04-01,3.0,250.0,0.0,253.0
SAN JUAN DE YAPACANI,registro de eventos de notificacion inmediata,inundacion,2014-05-01,1.0,0.0,0.0,1.0
