,group,variable,month,10 - 14 años,10 - 14 años,15 - 19 años,15 - 19 años,20 - 39 años,20 - 39 años,40 - 49 años,40 - 49 años,50 - 59 años,50 - 59 años,TOTALES,TOTALES,TOTALES
PALCA,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
PELECHUCO,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
RIBERALTA,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TRINIDAD,mortalidad materna,muerte materna confirmada,2015-02-01,0,0,1,0,0,0,1,0,0,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),mortalidad materna,muerte materna confirmada,2015-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-03-01,0,0,0,0,0,0,1,0,0,0,1,0,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-03-01,0,0,1,0,0,2,0,0,0,0,1,2,3
ORURO,mortalidad materna,muerte materna confirmada,2015-03-01,0,0,0,0,0,0,0,0,2,0,2,0,2
PATACAMAYA,mortalidad materna,muerte materna confirmada,2015-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
POCONA,mortalidad materna,muerte materna confirmada,2015-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
RIBERALTA,mortalidad materna,muerte materna confirmada,2015-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,2,0,0,0,0,0,2,0,2
ESCOMA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
HUAYLLAMARCA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TAPACARI,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,mortalidad materna,muerte materna confirmada,2015-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ACHACACHI,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,1,2,0,0,0,0,1,2,3
ICLA,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,0,0,0,0,0,1,0,1,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,3,0,0,0,0,0,3,0,3
RIBERALTA,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
TRINIDAD,mortalidad materna,muerte materna confirmada,2015-05-01,0,0,1,0,0,0,0,0,0,0,1,0,1
CARACOLLO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
COCAPATA,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,1,0,0,0,0,1,1,2
EL ALTO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL TORNO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,2,0,0,0,0,0,2,0,2
POTOSI,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
QUILLACOLLO,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
RURRENABAQUE,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SACABA,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,2,0,1,0,0,0,3,0,3
TRINIDAD,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLA MONTES,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ZUDAÑEZ,mortalidad materna,muerte materna confirmada,2015-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
CARANAVI,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,1,0,0,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,1,0,0,0,0,0,0,0,1,0,1
GUTIERREZ,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
IRUPANA (VILLA DE LANZA),mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MOCOMOCO,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,0,0,0,1,0,0,0,1,1
RAVELO,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna confirmada,2015-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
AIQUILE,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,1,0,1,1,0,0,0,0,2,1,3
EL ALTO,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,1,0,0,0,0,0,0,0,1,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,1,0,2,0,0,0,0,0,3,0,3
PATACAMAYA,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN PEDRO DE BUENA VISTA,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
TAPACARI,mortalidad materna,muerte materna confirmada,2015-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ACACIO,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
CARANAVI,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,1,0,0,0,0,0,0,0,1,0,1
COLQUECHACA,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
GUANAY,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA TUNARI,mortalidad materna,muerte materna confirmada,2015-09-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CARIPUYO,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
CHIMORE,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,1,1,0,0,0,1,1,2
LURIBAY,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,0,0,1,0,0,0,1,1
SAN IGNACIO DE VELASCO,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,1,0,2,0,0,0,0,0,3,0,3
LA PAZ,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
QUIABAYA,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SUCRE,mortalidad materna,muerte materna confirmada,2015-11-01,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,1,0,0,0,0,0,0,0,1,1
COTAGAITA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,2,0,0,0,0,0,2,0,2
ORURO,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,1,0,0,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SUCRE,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TACOBAMBA,mortalidad materna,muerte materna confirmada,2015-12-01,0,0,0,0,0,1,0,0,0,0,0,1,1
