,group,variable,month,< de 1 año,< de 1 año,1 a menor de 2 años,1 a menor de 2 años,2 a menor de 5 años,2 a menor de 5 años,TOTALES,TOTALES,TOTALES
MECAPACA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,5,4,12,3,18,7,25
MINEROS,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,7,5,5,4,12,10,22
MIZQUE,talla para la edad (t/e),talla baja (tb),2009-01-01,9,14,37,24,46,55,92,93,185
MOCOMOCO,talla para la edad (t/e),talla baja (tb),2009-01-01,9,5,4,4,18,19,31,28,59
MOJINETE,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,0,2,2,1,2,4,6
MOJOCOYA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,4,12,8,24,19,40,31,71
MONTEAGUDO,talla para la edad (t/e),talla baja (tb),2009-01-01,9,16,20,7,47,32,76,55,131
MONTERO,talla para la edad (t/e),talla baja (tb),2009-01-01,17,6,19,17,16,31,52,54,106
MORO MORO,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,0,0,1,3,1,4,5
MOROCHATA,talla para la edad (t/e),talla baja (tb),2009-01-01,13,23,31,30,24,47,68,100,168
OCURI,talla para la edad (t/e),talla baja (tb),2009-01-01,25,23,70,77,93,70,188,170,358
OMEREQUE,talla para la edad (t/e),talla baja (tb),2009-01-01,1,1,5,4,6,0,12,5,17
ORURO,talla para la edad (t/e),talla baja (tb),2009-01-01,110,73,148,94,94,64,352,231,583
PADCAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,1,3,3,4,4,8,8,16
PADILLA,talla para la edad (t/e),talla baja (tb),2009-01-01,15,3,17,9,60,52,92,64,156
PAILON,talla para la edad (t/e),talla baja (tb),2009-01-01,8,1,0,4,1,0,9,5,14
PALCA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,5,4,5,6,5,14,15,29
PALOS BLANCOS,talla para la edad (t/e),talla baja (tb),2009-01-01,3,4,9,6,12,14,24,24,48
PAMPA AULLAGAS,talla para la edad (t/e),talla baja (tb),2009-01-01,5,3,11,5,4,8,20,16,36
PAMPA GRANDE,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,1,1,4,2,5,7
PAPEL PAMPA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,1,0,0,0,1,2,2,4
PASORAPA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,11,0,0,3,5,5,16,21
PATACAMAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,5,2,2,3,0,10,7,17
PAZÑA,talla para la edad (t/e),talla baja (tb),2009-01-01,3,0,4,3,5,7,12,10,22
PELECHUCO,talla para la edad (t/e),talla baja (tb),2009-01-01,7,5,6,8,21,13,34,26,60
POCOATA,talla para la edad (t/e),talla baja (tb),2009-01-01,31,35,59,63,42,46,132,144,276
POCONA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,5,11,12,18,16,33,33,66
POJO (CBBA),talla para la edad (t/e),talla baja (tb),2009-01-01,4,1,4,2,4,1,12,4,16
POOPO,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,1,2,3,2,6,4,10
PORCO,talla para la edad (t/e),talla baja (tb),2009-01-01,7,11,12,15,8,7,27,33,60
POROMA,talla para la edad (t/e),talla baja (tb),2009-01-01,22,23,36,30,131,59,189,112,301
PORONGO,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,0,1,0,0,0,2,2
PORTACHUELO,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,2,3,3,4,5,9
PORVENIR,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,2,2,0,1,2,4,6
POSTRER VALLE,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,0,0,1,0,1,1
POTOSI,talla para la edad (t/e),talla baja (tb),2009-01-01,135,80,153,107,164,135,452,322,774
PRESTO,talla para la edad (t/e),talla baja (tb),2009-01-01,7,6,27,16,82,64,116,86,202
PUCARA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,4,0,1,0,6,0,6
PUCARANI,talla para la edad (t/e),talla baja (tb),2009-01-01,10,3,11,5,11,13,32,21,53
PUERTO ACOSTA,talla para la edad (t/e),talla baja (tb),2009-01-01,14,9,7,9,19,10,40,28,68
PUERTO CARABUCO,talla para la edad (t/e),talla baja (tb),2009-01-01,4,2,6,5,10,10,20,17,37
PUERTO GONZALO MORENO,talla para la edad (t/e),talla baja (tb),2009-01-01,15,9,10,3,19,19,44,31,75
PUERTO PEREZ,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,0,0,0,1,2,1,3
PUERTO QUIJARRO,talla para la edad (t/e),talla baja (tb),2009-01-01,1,1,0,0,0,0,1,1,2
PUERTO RICO,talla para la edad (t/e),talla baja (tb),2009-01-01,4,1,8,2,5,4,17,7,24
PUERTO SILES,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,1,2,1,0,2,3,5
PUERTO SUAREZ,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,0,2,1,0,3,2,5
PUERTO VILLARROEL,talla para la edad (t/e),talla baja (tb),2009-01-01,15,18,20,16,30,39,65,73,138
PUNA,talla para la edad (t/e),talla baja (tb),2009-01-01,44,21,50,46,85,67,179,134,313
PUNATA,talla para la edad (t/e),talla baja (tb),2009-01-01,13,23,9,9,13,14,35,46,81
QUIABAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,2,3,3,6,7,14,12,26
QUILLACOLLO,talla para la edad (t/e),talla baja (tb),2009-01-01,15,15,15,8,6,16,36,39,75
QUIME,talla para la edad (t/e),talla baja (tb),2009-01-01,1,1,5,5,13,11,19,17,36
RAVELO,talla para la edad (t/e),talla baja (tb),2009-01-01,23,16,40,28,78,63,141,107,248
REYES,talla para la edad (t/e),talla baja (tb),2009-01-01,5,3,2,3,4,9,11,15,26
RIBERALTA,talla para la edad (t/e),talla baja (tb),2009-01-01,29,35,49,61,31,34,109,130,239
ROBORE,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,0,0,0,1,0,1
RURRENABAQUE,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,5,1,3,2,10,3,13
SABAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,3,0,5,4,1,7,9,11,20
SACABA,talla para la edad (t/e),talla baja (tb),2009-01-01,32,26,70,50,104,89,206,165,371
SACABAMBA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,0,2,6,4,5,11,11,22
SACACA,talla para la edad (t/e),talla baja (tb),2009-01-01,78,58,88,81,142,157,308,296,604
SAIPINA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,0,3,1,3,1,4
SALINAS DE GARCI MENDOZA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,5,9,11,14,13,28,29,57
SAN AGUSTIN,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,2,1,0,0,2,1,3
SAN ANDRES,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,3,11,7,6,10,18,28
SAN ANDRES DE MACHACA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,4,4,2,1,0,7,6,13
SAN ANTONIO DE ESMORUCO,talla para la edad (t/e),talla baja (tb),2009-01-01,5,4,10,2,3,4,18,10,28
SAN ANTONIO DE LOMERIO,talla para la edad (t/e),talla baja (tb),2009-01-01,5,0,5,8,13,19,23,27,50
SAN BENITO,talla para la edad (t/e),talla baja (tb),2009-01-01,10,3,7,1,6,7,23,11,34
SAN BORJA,talla para la edad (t/e),talla baja (tb),2009-01-01,6,8,14,15,20,14,40,37,77
SAN BUENA VENTURA,talla para la edad (t/e),talla baja (tb),2009-01-01,15,4,8,7,21,13,44,24,68
SAN CARLOS,talla para la edad (t/e),talla baja (tb),2009-01-01,6,2,6,1,3,0,15,3,18
SAN IGNACIO,talla para la edad (t/e),talla baja (tb),2009-01-01,5,1,9,6,22,12,36,19,55
SAN IGNACIO DE VELASCO,talla para la edad (t/e),talla baja (tb),2009-01-01,5,7,9,3,7,17,21,27,48
SAN JAVIER(BNI),talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,0,2,1,0,1,3,4
SAN JAVIER(STC),talla para la edad (t/e),talla baja (tb),2009-01-01,4,8,4,6,3,4,11,18,29
SAN JOAQUIN,talla para la edad (t/e),talla baja (tb),2009-01-01,1,2,0,0,1,4,2,6,8
SAN JOSE DE CHIQUITOS,talla para la edad (t/e),talla baja (tb),2009-01-01,2,1,1,0,2,1,5,2,7
SAN JUAN DE YAPACANI,talla para la edad (t/e),talla baja (tb),2009-01-01,4,1,2,3,6,5,12,9,21
SAN JULIAN,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,2,1,1,2,4,3,7
SAN LORENZO(PND),talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,0,0,0,1,0,1
SAN LORENZO(TJA),talla para la edad (t/e),talla baja (tb),2009-01-01,10,9,13,14,12,9,35,32,67
SAN LUCAS,talla para la edad (t/e),talla baja (tb),2009-01-01,47,28,97,87,235,234,379,349,728
SAN MIGUEL DE VELASCO,talla para la edad (t/e),talla baja (tb),2009-01-01,3,0,0,3,0,0,3,3,6
SAN PABLO DE LIPEZ,talla para la edad (t/e),talla baja (tb),2009-01-01,2,4,10,6,16,18,28,28,56
SAN PEDRO,talla para la edad (t/e),talla baja (tb),2009-01-01,3,2,5,5,5,3,13,10,23
SAN PEDRO DE BUENA VISTA,talla para la edad (t/e),talla baja (tb),2009-01-01,17,13,46,34,27,42,90,89,179
SAN PEDRO DE CURAHUARA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,4,7,0,3,4,10,8,18
SAN PEDRO DE QUEMES,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,1,0,1,0,2,0,2
SAN PEDRO DE TIQUINA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,0,1,2,3,1,6,3,9
SAN PEDRO(PND),talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,0,3,1,3,1,4
SAN RAFAEL,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,0,0,1,0,1,1
SAN RAMON,talla para la edad (t/e),talla baja (tb),2009-01-01,0,2,1,0,0,1,1,3,4
SANTA ANA,talla para la edad (t/e),talla baja (tb),2009-01-01,5,4,6,3,0,2,11,9,20
SANTA CRUZ DE LA SIERRA,talla para la edad (t/e),talla baja (tb),2009-01-01,105,110,77,106,83,73,265,289,554
SANTA ROSA,talla para la edad (t/e),talla baja (tb),2009-01-01,1,0,1,3,0,5,2,8,10
SANTIAGO DE CALLAPA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,1,1,0,1,1,3,4
SANTIAGO DE HUARI,talla para la edad (t/e),talla baja (tb),2009-01-01,0,2,4,2,9,10,13,14,27
SANTIAGO DE MACHACA,talla para la edad (t/e),talla baja (tb),2009-01-01,2,4,3,1,9,4,14,9,23
SANTIVAÑES,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,2,0,2,0,4,4
SANTUARIO DE QUILLACAS,talla para la edad (t/e),talla baja (tb),2009-01-01,8,3,7,3,19,14,34,20,54
SAPAHAQUI,talla para la edad (t/e),talla baja (tb),2009-01-01,4,8,10,12,21,20,35,40,75
SENA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,1,2,3,1,4,4,8
SICA SICA (VILLA AROMA),talla para la edad (t/e),talla baja (tb),2009-01-01,8,9,12,5,7,5,27,19,46
SICAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,5,2,3,1,8,4,12
SIPE SIPE,talla para la edad (t/e),talla baja (tb),2009-01-01,16,18,24,23,24,10,64,51,115
SOPACHUY,talla para la edad (t/e),talla baja (tb),2009-01-01,6,7,23,22,79,94,108,123,231
SORACACHI,talla para la edad (t/e),talla baja (tb),2009-01-01,10,2,10,14,5,11,25,27,52
SORATA,talla para la edad (t/e),talla baja (tb),2009-01-01,9,1,3,6,13,14,25,21,46
SUCRE,talla para la edad (t/e),talla baja (tb),2009-01-01,33,29,42,43,108,86,183,158,341
TACACOMA,talla para la edad (t/e),talla baja (tb),2009-01-01,3,5,4,4,7,12,14,21,35
TACOBAMBA,talla para la edad (t/e),talla baja (tb),2009-01-01,12,5,15,17,13,16,40,38,78
TACOPAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,6,3,22,21,20,15,48,39,87
TAHUA,talla para la edad (t/e),talla baja (tb),2009-01-01,0,1,0,0,0,0,0,1,1
TAPACARI,talla para la edad (t/e),talla baja (tb),2009-01-01,42,38,77,58,56,50,175,146,321
TARABUCO,talla para la edad (t/e),talla baja (tb),2009-01-01,29,19,64,63,179,176,272,258,530
TARACO,talla para la edad (t/e),talla baja (tb),2009-01-01,0,0,0,1,0,3,0,4,4
TARATA,talla para la edad (t/e),talla baja (tb),2009-01-01,4,2,7,4,6,8,17,14,31
TARIJA,talla para la edad (t/e),talla baja (tb),2009-01-01,12,20,12,9,19,26,43,55,98
TARVITA,talla para la edad (t/e),talla baja (tb),2009-01-01,32,22,70,56,173,146,275,224,499
TEOPONTE,talla para la edad (t/e),talla baja (tb),2009-01-01,4,3,6,7,13,12,23,22,45
TIAWANACU,talla para la edad (t/e),talla baja (tb),2009-01-01,1,2,3,2,3,1,7,5,12
TINGUIPAYA,talla para la edad (t/e),talla baja (tb),2009-01-01,10,10,18,18,27,35,55,63,118
