,group,variable,month,a. 10 - 14 años,a. 10 - 14 años,b. 15 - 19 años,b. 15 - 19 años,c. 20 - 39 años,c. 20 - 39 años,d. 40 - 49 años,d. 40 - 49 años,e. 50 - 59 años,e. 50 - 59 años,TOTALES,TOTALES,TOTALES
RIBERALTA,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-03-01,0,0,2,0,3,0,0,0,0,0,5,0,5
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,1,0,2,0,0,0,0,0,3,0,3
ENTRE RIOS TRJ,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,1,1
ORURO,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
PAMPA AULLAGAS,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,0,0,0,1,0,0,0,1,1
POTOSI,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
QUILLACOLLO,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,0,1,0,0,0,0,0,1,1
RIBERALTA,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,3,0,0,0,0,0,3,0,3
SACABA,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,1,0,3,0,0,0,0,0,4,0,4
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,1,0,0,0,0,0,0,0,1,0,1
TARABUCO,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA TUNARI,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VINTO,salud sexual y reproductiva,sepsis obstetrica,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,salud sexual y reproductiva,sepsis obstetrica,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
BERMEJO,salud sexual y reproductiva,sepsis obstetrica,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
COPACABANA,salud sexual y reproductiva,sepsis obstetrica,2024-05-01,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-05-01,0,0,0,0,2,1,0,0,0,0,2,1,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-05-01,0,0,1,0,8,0,0,0,0,0,9,0,9
TRINIDAD,salud sexual y reproductiva,sepsis obstetrica,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
WARNES,salud sexual y reproductiva,sepsis obstetrica,2024-05-01,0,0,0,0,3,0,0,0,0,0,3,0,3
CUATRO CAÑADAS,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,0,0,5,0,3,0,0,0,8,0,8
LA PAZ,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,0,0,2,0,0,0,0,0,2,0,2
RIBERALTA,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,1,0,0,0,3,0,0,0,0,0,4,0,4
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TRINIDAD,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,0,0,0,0,0,1,0,0,0,1,1
WARNES,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,1,0,0,0,0,0,0,0,1,0,1
YACUIBA,salud sexual y reproductiva,sepsis obstetrica,2024-06-01,0,0,0,0,0,0,1,0,0,0,1,0,1
COCHABAMBA,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,4,1,0,0,0,0,4,1,5
POTOSI,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,2,0,0,0,0,0,2,0,2
PUNATA,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,1,0,1,0,0,0,2,0,2
RIBERALTA,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN MIGUEL DE VELASCO,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,3,1,0,0,0,0,3,1,4
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
URIONDO (A. CONCEPCION),salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA TUNARI,salud sexual y reproductiva,sepsis obstetrica,2024-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-08-01,0,0,1,0,3,0,0,0,0,0,4,0,4
EL PUENTE(TJA),salud sexual y reproductiva,sepsis obstetrica,2024-08-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LA PAZ,salud sexual y reproductiva,sepsis obstetrica,2024-08-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SACABA,salud sexual y reproductiva,sepsis obstetrica,2024-08-01,0,0,0,0,2,0,1,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-08-01,0,0,0,0,3,0,0,0,0,0,3,0,3
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-08-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,salud sexual y reproductiva,sepsis obstetrica,2024-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-09-01,0,0,3,0,7,0,0,0,0,0,10,0,10
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TOMAVE,salud sexual y reproductiva,sepsis obstetrica,2024-09-01,0,0,0,0,0,1,0,0,0,0,0,1,1
VILLA MONTES,salud sexual y reproductiva,sepsis obstetrica,2024-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMARGO,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CAMIRI,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,2,0,0,0,0,0,2,0,2
COCHABAMBA,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,2,0,0,0,1,0,0,0,0,0,3,0,3
CONCEPCION,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,2,0,0,0,0,0,2,0,2
QUILLACOLLO,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,0,0,0,0,1,0,1,0,1
RIBERALTA,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,6,2,0,0,0,0,6,2,8
SUCRE,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,1,0,0,0,0,0,0,0,1,1
WARNES,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
YACUIBA,salud sexual y reproductiva,sepsis obstetrica,2024-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-11-01,0,0,0,0,2,0,0,0,0,0,2,0,2
TARABUCO,salud sexual y reproductiva,sepsis obstetrica,2024-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA MONTES,salud sexual y reproductiva,sepsis obstetrica,2024-11-01,0,0,1,0,0,0,0,0,0,0,1,0,1
VILLA TUNARI,salud sexual y reproductiva,sepsis obstetrica,2024-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,sepsis obstetrica,2024-12-01,0,0,3,0,10,0,1,0,0,0,14,0,14
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,sepsis obstetrica,2024-12-01,0,0,1,0,0,3,0,1,0,0,1,4,5
