,group,variable,month,a. 10 - 14 años,a. 10 - 14 años,b. 15 - 19 años,b. 15 - 19 años,c. 20 - 39 años,c. 20 - 39 años,d. 40 - 49 años,d. 40 - 49 años,e. 50 - 59 años,e. 50 - 59 años,TOTALES,TOTALES,TOTALES
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MINEROS,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,2,0,6,0,0,0,0,0,8,0,8
ORURO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,2,7,1,1,0,0,0,9,3,12
PATACAMAYA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,2,0,0,0,0,0,2,0,2
PUERTO GONZALO MORENO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,0,0,0,0,0,0,0,1,0,1
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,10,0,0,0,0,0,10,0,10
ROBORE,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SACABA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,0,6,0,1,0,0,0,8,0,8
SAN BORJA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,1,0,26,0,53,19,5,0,0,0,85,19,104
SHINAOTA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,9,2,0,0,1,0,10,2,12
TARIJA,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,0,15,0,1,0,0,0,17,0,17
TITO YUPANQUI (PARQUIPUJIO),salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,1,0,0,0,0,0,0,0,1,0,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,2,0,18,0,1,0,0,0,21,0,21
VITICHI,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
WARNES,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,0,1,0,0,0,0,0,1,1
YANACACHI,salud sexual y reproductiva,preeclampsia severa,2024-01-01,0,0,0,0,0,0,0,1,0,0,0,1,1
ACHOCALLA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CATACORA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
CLIZA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,2,1,0,0,0,0,2,1,3
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,5,0,1,0,0,0,6,0,6
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
COROICO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,3,0,27,1,2,0,0,0,32,1,33
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,1,0,0,0,0,0,2,0,2
GUTIERREZ,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,1,0,1,0,0,0,3,0,3
HUACARETA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
JESUS DE MACHACA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA ASUNTA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2024-02-01,2,0,0,0,22,0,3,0,0,0,27,0,27
LAJA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
MONTERO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,1,0,2,0,3,0,1,0,0,0,7,0,7
OCURI,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
ORURO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,8,0,2,0,0,0,11,0,11
POTOSI,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
PUERTO QUIJARRO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,0,1,0,0,0,0,0,1,1
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,2,0,0,0,0,0,0,0,2,0,2
ROBORE,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,2,0,0,0,0,0,3,0,3
RURRENABAQUE,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SACABA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,2,0,1,0,0,0,0,0,3,0,3
SAN BORJA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN LORENZO(PND),salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,9,0,43,11,4,1,0,0,56,12,68
SICA SICA (VILLA AROMA),salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SUCRE,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,3,0,0,0,0,0,0,0,3,0,3
TARABUCO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,1,0,6,0,1,0,0,0,8,0,8
TIQUIPAYA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TOLEDO,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,0,0,1,0,0,0,1,0,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,3,0,9,3,1,0,0,0,13,3,16
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,2,0,1,0,0,0,3,0,3
YACUIBA,salud sexual y reproductiva,preeclampsia severa,2024-02-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ACHOCALLA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,2,0,0,0,0,0,2,0,2
AYO AYO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,2,0,0,0,0,0,2,0,2
CLIZA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,1,0,1,0,0,0,0,0,2,2
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,8,0,1,0,0,0,9,0,9
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,2,0,23,2,2,0,0,0,27,2,29
EL PUENTE(TJA),salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
GENERAL SAAVEDRA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,2,0,0,0,0,0,2,0,2
GUTIERREZ,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,2,0,0,0,0,0,2,0,2
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,15,0,2,0,0,0,17,0,17
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,2,0,1,0,0,0,0,0,3,0,3
MINEROS,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,1,0,0,0,0,0,0,0,1,0,1
MONTEAGUDO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,3,0,7,0,2,0,0,0,12,0,12
ORURO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,4,0,1,1,0,0,5,1,6
POROMA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,salud sexual y reproductiva,preeclampsia severa,2024-03-01,1,0,0,0,1,0,0,0,0,0,2,0,2
PUCARANI,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
QUIME,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,1,0,4,0,0,0,0,0,5,0,5
ROBORE,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,2,0,0,0,0,0,2,0,2
RURRENABAQUE,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SACABA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,4,0,0,0,0,0,4,0,4
SACACA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN BORJA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,1,0,0,0,0,0,1,0,0,0,2,0,2
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SAN MIGUEL DE VELASCO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,3,0,0,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,8,0,41,13,2,2,0,0,51,15,66
SANTIAGO DE CALLAPA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SUCRE,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,1,0,2,0,1,0,0,0,4,0,4
TACACOMA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TACOPAYA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,0,1,0,0,0,0,0,1,1
TARIJA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,6,0,0,0,0,0,6,0,6
TIPUANI,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TOLEDO,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TRINIDAD,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,2,0,15,0,0,0,0,0,17,0,17
TUPIZA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,1,0,0,0,0,0,0,0,1,0,1
VIACHA,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
WARNES,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
YANACACHI,salud sexual y reproductiva,preeclampsia severa,2024-03-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ATOCHA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CAIROMA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,1,0,0,0,0,1,1,2
CHAQUI,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,2,0,8,0,0,0,0,0,10,0,10
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,1,0,24,0,3,0,0,0,28,0,28
EXALTACION,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,1,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,2,4,0,0,0,0,2,4,6
HUATAJATA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,20,1,1,0,0,0,21,1,22
MECAPACA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,1,0,10,0,0,0,0,0,11,0,11
ORURO,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,1,0,3,0,1,0,0,0,5,0,5
PATACAMAYA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,1,0,0,0,0,1,1,2
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,2,0,0,0,0,0,2,0,2
ROBORE,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,1,0,1,0,0,0,0,0,2,0,2
SACABA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,5,0,0,0,0,0,5,0,5
SAN BORJA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,1,0,2,0,0,0,0,0,3,0,3
SAN IGNACIO DE VELASCO,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SAN PEDRO,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,2,0,1,0,0,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,4,0,55,5,0,0,0,0,59,5,64
SUCRE,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,4,0,0,0,0,0,4,0,4
TACACOMA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TARABUCO,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,2,0,0,0,0,0,2,0,2
TARIJA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,8,0,1,0,0,0,9,0,9
TRINIDAD,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,3,0,14,0,1,0,0,0,18,0,18
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,0,0,1,0,0,0,1,0,1
VILLAZON,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
WARNES,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
YACUIBA,salud sexual y reproductiva,preeclampsia severa,2024-04-01,0,0,0,1,0,1,0,0,0,0,0,2,2
BERMEJO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
CAPINOTA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
CHARAGUA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,2,0,10,0,2,0,0,0,14,0,14
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COPACABANA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CULPINA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,1,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,40,0,2,0,0,0,42,0,42
EL TORNO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
FERNANDEZ ALONSO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
GUTIERREZ,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,1,0,0,0,0,0,0,0,1,1
LA ASUNTA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,1,0,18,0,0,0,0,0,19,0,19
LICOMA PAMPA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
LLALLAGUA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,2,0,11,0,1,0,0,0,14,0,14
OCURI,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,3,0,0,0,0,0,3,0,3
PAILON,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
POTOSI,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
PUERTO VILLARROEL,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,2,0,5,0,0,0,0,0,7,0,7
PUNATA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
QUILLACOLLO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,3,0,0,0,0,0,3,0,3
RIBERALTA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,3,0,8,0,0,0,0,0,11,0,11
ROBORE,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SACABA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,4,0,0,0,0,0,4,0,4
SAN BORJA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN IGNACIO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN JAVIER(BNI),salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,0,0,1,0,0,0,1,0,1
SAN PEDRO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA ANA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,2,0,2,0,0,0,0,0,4,0,4
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,9,0,48,2,2,2,0,0,59,4,63
SUCRE,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
TARIJA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,2,0,6,0,0,0,0,0,8,0,8
TOLEDO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,1,0,1,0,0,0,0,0,2,0,2
TRINIDAD,salud sexual y reproductiva,preeclampsia severa,2024-05-01,1,0,7,0,8,0,1,0,0,0,17,0,17
VILLA MONTES,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,1,0,1,0,0,0,0,0,2,0,2
VILLA TUNARI,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLAZON,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,4,0,0,0,0,0,4,0,4
WARNES,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
YACO,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
YACUIBA,salud sexual y reproductiva,preeclampsia severa,2024-05-01,0,0,0,0,1,1,0,0,0,0,1,1,2
COCHABAMBA,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,1,0,5,0,0,0,0,0,6,0,6
COLCAPIRHUA,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COLOMI,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
CONCEPCION,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COTAGAITA,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,1,0,0,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,1,0,22,0,3,0,0,0,26,0,26
GUAYARAMERIN,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,2,0,0,0,0,0,2,0,2
LA PAZ,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,1,0,13,0,1,0,0,0,15,0,15
LAJA,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LURIBAY,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,0,1,0,0,0,0,0,1,1
MAPIRI,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,0,0,3,0,0,0,0,0,3,0,3
ORURO,salud sexual y reproductiva,preeclampsia severa,2024-06-01,0,0,7,0,5,0,0,0,0,0,12,0,12
