,group,variable,month,a. 10 - 14 años,a. 10 - 14 años,b. 15 - 19 años,b. 15 - 19 años,c. 20 - 39 años,c. 20 - 39 años,d. 40 - 49 años,d. 40 - 49 años,e. 50 - 59 años,e. 50 - 59 años,TOTALES,TOTALES,TOTALES
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-03-01,0,0,2,0,3,0,0,0,0,0,5,0,5
ASCENCION DE GUARAYOS,salud sexual y reproductiva,eclampsia,2024-04-01,0,0,0,0,2,0,0,0,0,0,2,0,2
EL ALTO,salud sexual y reproductiva,eclampsia,2024-04-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-04-01,0,0,1,0,2,0,1,0,0,0,4,0,4
YACUIBA,salud sexual y reproductiva,eclampsia,2024-04-01,0,0,0,0,1,0,0,0,0,0,1,0,1
COPACABANA,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,1,0,0,0,0,0,0,0,1,0,1
GUAYARAMERIN,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,3,0,0,0,0,0,3,0,3
LA PAZ,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,1,0,1,0,0,0,0,0,2,0,2
MONTEAGUDO,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,1,0,1,0,0,0,0,0,2,0,2
QUILLACOLLO,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,3,0,0,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,6,0,4,0,0,0,0,0,10,0,10
VILLA TUNARI,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,1,0,0,0,0,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,0,1,0,0,0,0,0,1,1
WARNES,salud sexual y reproductiva,eclampsia,2024-05-01,0,0,0,0,2,0,0,0,0,0,2,0,2
COTAGAITA,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
EL ALTO,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,0,0,4,0,0,0,0,0,4,0,4
LA PAZ,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,0,0,3,0,0,0,0,0,3,0,3
MONTEAGUDO,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
MONTERO,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,1,0,1,0,0,0,0,0,2,0,2
ORURO,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,1,0,1,0,0,0,0,0,2,0,2
POTOSI,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-06-01,0,0,2,0,2,0,0,0,0,0,4,0,4
ASCENCION DE GUARAYOS,salud sexual y reproductiva,eclampsia,2024-07-01,0,0,1,0,1,0,0,0,0,0,2,0,2
COCHABAMBA,salud sexual y reproductiva,eclampsia,2024-07-01,0,0,0,0,0,1,1,0,0,0,1,1,2
EL ALTO,salud sexual y reproductiva,eclampsia,2024-07-01,0,0,1,0,5,0,0,0,0,0,6,0,6
GUAYARAMERIN,salud sexual y reproductiva,eclampsia,2024-07-01,0,0,4,0,1,0,0,0,0,0,5,0,5
QUILLACOLLO,salud sexual y reproductiva,eclampsia,2024-07-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-07-01,1,0,2,0,2,0,0,0,0,0,5,0,5
TRINIDAD,salud sexual y reproductiva,eclampsia,2024-07-01,0,0,1,0,0,0,0,0,0,0,1,0,1
VILLA TUNARI,salud sexual y reproductiva,eclampsia,2024-07-01,0,0,2,0,0,0,1,0,0,0,3,0,3
EL ALTO,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,3,0,0,0,0,0,3,0,3
GUAYARAMERIN,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,1,0,0,0,0,0,1,0,1
LA PAZ,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,1,0,1,0,0,0,2,0,2
MONTEAGUDO,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,0,0,1,0,0,0,1,0,1
POTOSI,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,2,0,0,0,0,0,2,0,2
QUILLACOLLO,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SAN BORJA,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,1,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,2,0,0,0,0,0,2,0,2
SUCRE,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,1,0,0,0,0,0,1,0,1
TARIJA,salud sexual y reproductiva,eclampsia,2024-08-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ALTO BENI,salud sexual y reproductiva,eclampsia,2024-09-01,0,0,1,0,0,0,0,0,0,0,1,0,1
COCHABAMBA,salud sexual y reproductiva,eclampsia,2024-09-01,0,0,0,0,1,0,0,0,0,0,1,0,1
GUAYARAMERIN,salud sexual y reproductiva,eclampsia,2024-09-01,0,0,0,0,1,1,0,0,0,0,1,1,2
LA PAZ,salud sexual y reproductiva,eclampsia,2024-09-01,0,0,0,0,3,0,0,0,0,0,3,0,3
ORURO,salud sexual y reproductiva,eclampsia,2024-09-01,1,0,0,0,0,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-09-01,1,0,1,0,1,0,0,0,0,0,3,0,3
TARIJA,salud sexual y reproductiva,eclampsia,2024-09-01,1,0,0,0,0,0,0,0,0,0,1,0,1
TRINIDAD,salud sexual y reproductiva,eclampsia,2024-09-01,0,0,0,0,2,0,0,0,0,0,2,0,2
EL ALTO,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,0,0,2,0,0,0,0,0,2,0,2
GUAYARAMERIN,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,0,0,1,1,0,0,0,0,1,1,2
LA PAZ,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,1,0,1,0,0,0,0,0,2,0,2
LLALLAGUA,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,0,0,0,0,1,0,0,0,1,0,1
MIZQUE,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,salud sexual y reproductiva,eclampsia,2024-10-01,2,0,0,0,0,0,0,0,0,0,2,0,2
POTOSI,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,0,0,3,0,0,0,0,0,3,0,3
SUCRE,salud sexual y reproductiva,eclampsia,2024-10-01,0,0,0,0,0,1,0,0,0,0,0,1,1
MACHARETI,salud sexual y reproductiva,eclampsia,2024-11-01,0,0,0,1,0,0,0,0,0,0,0,1,1
MONTERO,salud sexual y reproductiva,eclampsia,2024-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
ORURO,salud sexual y reproductiva,eclampsia,2024-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
RIBERALTA,salud sexual y reproductiva,eclampsia,2024-11-01,0,0,0,0,1,0,0,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-11-01,1,0,0,0,1,0,0,0,0,0,2,0,2
SUCRE,salud sexual y reproductiva,eclampsia,2024-11-01,0,0,0,0,1,1,0,0,0,0,1,1,2
TARIJA,salud sexual y reproductiva,eclampsia,2024-11-01,0,0,1,0,1,0,0,0,0,0,2,0,2
LA PAZ,salud sexual y reproductiva,eclampsia,2024-12-01,0,0,0,0,1,0,0,0,0,0,1,0,1
POTOSI,salud sexual y reproductiva,eclampsia,2024-12-01,0,0,0,0,1,0,2,0,0,0,3,0,3
SANTA CRUZ DE LA SIERRA,salud sexual y reproductiva,eclampsia,2024-12-01,1,0,0,0,0,0,0,0,0,0,1,0,1
SUCRE,salud sexual y reproductiva,eclampsia,2024-12-01,0,0,0,0,1,0,0,0,0,0,1,0,1
