year,disease_group,disease,municipalities,values,file
2005,salud sexual y reproductiva,preeclampsia severa/eclampsia,125,838,clean/2005/salud-sexual-y-reproductiva/preeclampsia-severa-eclampsia.csv
2005,desnutricion global,sobrepeso (s),320,24759,clean/2005/desnutricion-global/sobrepeso-s.csv
2005,desnutricion global,nutricion normal (n),322,26418,clean/2005/desnutricion-global/nutricion-normal-n.csv
2005,desnutricion global,desnutricion leve (l),322,26040,clean/2005/desnutricion-global/desnutricion-leve-l.csv
2005,desnutricion global,desnutricion moderada (m),318,23863,clean/2005/desnutricion-global/desnutricion-moderada-m.csv
2005,desnutricion global,desnutricion grave (g),299,16891,clean/2005/desnutricion-global/desnutricion-grave-g.csv
2005,desnutricion cronica,talla normal (n),60,1113,clean/2005/desnutricion-cronica/talla-normal-n.csv
2005,desnutricion cronica,talla baja leve (l),58,987,clean/2005/desnutricion-cronica/talla-baja-leve-l.csv
2005,desnutricion cronica,talla baja moderada (m),37,525,clean/2005/desnutricion-cronica/talla-baja-moderada-m.csv
2005,desnutricion cronica,talla baja grave (g),19,245,clean/2005/desnutricion-cronica/talla-baja-grave-g.csv
2005,intoxicaciones,plaguicidas,139,970,clean/2005/intoxicaciones/plaguicidas.csv
2006,sospecha diagnostica,sarampion / rubeola,25,450,clean/2006/sospecha-diagnostica/sarampion-rubeola.csv
2006,sospecha diagnostica,tos ferina,12,198,clean/2006/sospecha-diagnostica/tos-ferina.csv
2006,sospecha diagnostica,difteria,1,6,clean/2006/sospecha-diagnostica/difteria.csv
2006,sospecha diagnostica,paralisis flacida aguda,12,132,clean/2006/sospecha-diagnostica/paralisis-flacida-aguda.csv
2006,sospecha diagnostica,fiebre amarilla,14,192,clean/2006/sospecha-diagnostica/fiebre-amarilla.csv
2006,sospecha diagnostica,dengue hemorragico,11,90,clean/2006/sospecha-diagnostica/dengue-hemorragico.csv
2006,sospecha diagnostica,dengue clasico,49,1140,clean/2006/sospecha-diagnostica/dengue-clasico.csv
2006,sospecha diagnostica,fiebre hemorrag. bol,1,6,clean/2006/sospecha-diagnostica/fiebre-hemorrag-bol.csv
2006,sospecha diagnostica,peste,0,0,clean/2006/sospecha-diagnostica/peste.csv
2006,sospecha diagnostica,menin. meningococica,3,18,clean/2006/sospecha-diagnostica/menin-meningococica.csv
2006,sospecha diagnostica,colera,2,12,clean/2006/sospecha-diagnostica/colera.csv
2006,sospecha diagnostica,enfer. por hanta virus,9,240,clean/2006/sospecha-diagnostica/enfer-por-hanta-virus.csv
2006,sospecha diagnostica,rabia humana,6,66,clean/2006/sospecha-diagnostica/rabia-humana.csv
2006,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,188,2220,clean/2006/sospecha-diagnostica/numero-de-personas-mordidas-por-animal-sospechoso-de-rabia.csv
2006,inmunoprevenibles,tetanos neonatal,5,60,clean/2006/inmunoprevenibles/tetanos-neonatal.csv
2006,inmunoprevenibles,tetanos del adulto,19,284,clean/2006/inmunoprevenibles/tetanos-del-adulto.csv
2006,inmunoprevenibles,hepatitis,98,4543,clean/2006/inmunoprevenibles/hepatitis.csv
2006,inmunoprevenibles,parotiditis,156,5756,clean/2006/inmunoprevenibles/parotiditis.csv
2006,infec de transmision sexual,mujer con ulcera genital,163,6896,clean/2006/infec-de-transmision-sexual/mujer-con-ulcera-genital.csv
2006,infec de transmision sexual,hombre con ulcera genital,156,5063,clean/2006/infec-de-transmision-sexual/hombre-con-ulcera-genital.csv
2006,infec de transmision sexual,hombre con flujo uretral (uretritis),171,6513,clean/2006/infec-de-transmision-sexual/hombre-con-flujo-uretral-uretritis.csv
2006,infec de transmision sexual,sida,20,553,clean/2006/infec-de-transmision-sexual/sida.csv
2006,otras infecciones,enfermedad  diarreica aguda,323,42455,clean/2006/otras-infecciones/enfermedad-diarreica-aguda.csv
2006,otras infecciones,ira sin neumonia,323,42619,clean/2006/otras-infecciones/ira-sin-neumonia.csv
2006,otras infecciones,neumonia,323,39753,clean/2006/otras-infecciones/neumonia.csv
2006,otras infecciones,malaria,148,10145,clean/2006/otras-infecciones/malaria.csv
2006,otras infecciones,leishmaniasis,85,4471,clean/2006/otras-infecciones/leishmaniasis.csv
2006,tuberculosis y lepra,sintomatico respiratorio,313,35794,clean/2006/tuberculosis-y-lepra/sintomatico-respiratorio.csv
2006,tuberculosis y lepra, meningitis tb en menores de 5 anos,15,185,clean/2006/tuberculosis-y-lepra/meningitis-tb-en-menores-de-5-anos.csv
2006,tuberculosis y lepra,tuberculosis extrapulmonar,100,3412,clean/2006/tuberculosis-y-lepra/tuberculosis-extrapulmonar.csv
2006,tuberculosis y lepra,enfermos curados,145,5570,clean/2006/tuberculosis-y-lepra/enfermos-curados.csv
2006,tuberculosis y lepra,fracaso terapeutico,22,331,clean/2006/tuberculosis-y-lepra/fracaso-terapeutico.csv
2006,tuberculosis y lepra,lepra *,14,235,clean/2006/tuberculosis-y-lepra/lepra.csv
2006,violencia  intrafamiliar,hombres,140,4229,clean/2006/violencia-intrafamiliar/hombres.csv
2006,violencia  intrafamiliar,mujeres,219,9694,clean/2006/violencia-intrafamiliar/mujeres.csv
2006,mortalidad institucional,muerte materna,96,1218,clean/2006/mortalidad-institucional/muerte-materna.csv
2006,mortalidad institucional,muerte rn menor de 7 dias,158,3192,clean/2006/mortalidad-institucional/muerte-rn-menor-de-7-dias.csv
2006,mortalidad institucional,muerte menor de 1 ano,164,3353,clean/2006/mortalidad-institucional/muerte-menor-de-1-ano.csv
2006,mortalidad institucional,muerte  menor de 5 anos por diarrea,85,1141,clean/2006/mortalidad-institucional/muerte-menor-de-5-anos-por-diarrea.csv
2006,mortalidad institucional,muerte menor de 5 anos por neumonia,61,854,clean/2006/mortalidad-institucional/muerte-menor-de-5-anos-por-neumonia.csv
2006,mortalidad institucional,muerte menor de 5 anos por otras causas,137,2807,clean/2006/mortalidad-institucional/muerte-menor-de-5-anos-por-otras-causas.csv
2006,mortalidad institucional,otras muertes en personas mayores de 5 anos,243,9485,clean/2006/mortalidad-institucional/otras-muertes-en-personas-mayores-de-5-anos.csv
2006,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),236,2626,clean/2006/salud-sexual-y-reproductiva/hemorragia-de-la-primera-mitad-del-embarazo-22-sem.csv
2006,salud sexual y reproductiva,hemorragia del parto o puerperio,159,1182,clean/2006/salud-sexual-y-reproductiva/hemorragia-del-parto-o-puerperio.csv
2006,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),278,4198,clean/2006/salud-sexual-y-reproductiva/embarazo-en-adolecente-menor-de-20-anos.csv
2006,salud sexual y reproductiva,preeclampsia severa/eclampsia,134,878,clean/2006/salud-sexual-y-reproductiva/preeclampsia-severa-eclampsia.csv
2006,desnutricion global,sobrepeso (s),319,25165,clean/2006/desnutricion-global/sobrepeso-s.csv
2006,desnutricion global,nutricion normal (n),323,26831,clean/2006/desnutricion-global/nutricion-normal-n.csv
2006,desnutricion global,desnutricion leve (l),322,26558,clean/2006/desnutricion-global/desnutricion-leve-l.csv
2006,desnutricion global,desnutricion moderada (m),319,24472,clean/2006/desnutricion-global/desnutricion-moderada-m.csv
2006,desnutricion global,desnutricion grave (g),293,16338,clean/2006/desnutricion-global/desnutricion-grave-g.csv
2006,desnutricion cronica,talla normal (n),86,2800,clean/2006/desnutricion-cronica/talla-normal-n.csv
2006,desnutricion cronica,talla baja leve (l),72,2212,clean/2006/desnutricion-cronica/talla-baja-leve-l.csv
2006,desnutricion cronica,talla baja moderada (m),58,1155,clean/2006/desnutricion-cronica/talla-baja-moderada-m.csv
2006,desnutricion cronica,talla baja grave (g),29,560,clean/2006/desnutricion-cronica/talla-baja-grave-g.csv
2006,intoxicaciones,plaguicidas,102,726,clean/2006/intoxicaciones/plaguicidas.csv
2007,sospecha diagnostica,sarampion / rubeola,21,276,clean/2007/sospecha-diagnostica/sarampion-rubeola.csv
2007,sospecha diagnostica,tos ferina,11,204,clean/2007/sospecha-diagnostica/tos-ferina.csv
2007,sospecha diagnostica,difteria,1,6,clean/2007/sospecha-diagnostica/difteria.csv
2007,sospecha diagnostica,paralisis flacida aguda,10,90,clean/2007/sospecha-diagnostica/paralisis-flacida-aguda.csv
2007,sospecha diagnostica,fiebre amarilla,17,192,clean/2007/sospecha-diagnostica/fiebre-amarilla.csv
2007,sospecha diagnostica,dengue hemorragico,6,84,clean/2007/sospecha-diagnostica/dengue-hemorragico.csv
2007,sospecha diagnostica,dengue clasico,81,1860,clean/2007/sospecha-diagnostica/dengue-clasico.csv
2007,sospecha diagnostica,fiebre hemorrag. bol,1,6,clean/2007/sospecha-diagnostica/fiebre-hemorrag-bol.csv
2007,sospecha diagnostica,peste,0,0,clean/2007/sospecha-diagnostica/peste.csv
2007,sospecha diagnostica,menin. meningococica,6,54,clean/2007/sospecha-diagnostica/menin-meningococica.csv
2007,sospecha diagnostica,colera,7,54,clean/2007/sospecha-diagnostica/colera.csv
2007,sospecha diagnostica,enfer. por hanta virus,10,198,clean/2007/sospecha-diagnostica/enfer-por-hanta-virus.csv
2007,sospecha diagnostica,rabia humana,14,126,clean/2007/sospecha-diagnostica/rabia-humana.csv
2007,sospecha diagnostica,numero de personas mordidas por animal sospechoso de rabia,193,2666,clean/2007/sospecha-diagnostica/numero-de-personas-mordidas-por-animal-sospechoso-de-rabia.csv
2007,inmunoprevenibles,tetanos neonatal,5,65,clean/2007/inmunoprevenibles/tetanos-neonatal.csv
2007,inmunoprevenibles,tetanos,18,325,clean/2007/inmunoprevenibles/tetanos.csv
2007,inmunoprevenibles,hepatitis,117,6383,clean/2007/inmunoprevenibles/hepatitis.csv
2007,inmunoprevenibles,parotiditis,184,10166,clean/2007/inmunoprevenibles/parotiditis.csv
2007,infec de transmision sexual,ulcera genital,170,8125,clean/2007/infec-de-transmision-sexual/ulcera-genital.csv
2007,infec de transmision sexual,flujo uretral (uretritis),149,6552,clean/2007/infec-de-transmision-sexual/flujo-uretral-uretritis.csv
2007,infec de transmision sexual,sida *,18,884,clean/2007/infec-de-transmision-sexual/sida.csv
2007,otras infecciones,enfermedad  diarreica aguda,323,50505,clean/2007/otras-infecciones/enfermedad-diarreica-aguda.csv
2007,otras infecciones,ira sin neumonia,323,50661,clean/2007/otras-infecciones/ira-sin-neumonia.csv
2007,otras infecciones,neumonia,322,47580,clean/2007/otras-infecciones/neumonia.csv
2007,otras infecciones,malaria,142,11583,clean/2007/otras-infecciones/malaria.csv
2007,otras infecciones,leishmaniasis,91,5707,clean/2007/otras-infecciones/leishmaniasis.csv
2007,tuberculosis y lepra,sintomatico respiratorio,319,42107,clean/2007/tuberculosis-y-lepra/sintomatico-respiratorio.csv
2007,tuberculosis y lepra, meningitis tb en menores de 5 anos,17,247,clean/2007/tuberculosis-y-lepra/meningitis-tb-en-menores-de-5-anos.csv
2007,tuberculosis y lepra,tuberculosis extrapulmonar,99,4069,clean/2007/tuberculosis-y-lepra/tuberculosis-extrapulmonar.csv
2007,tuberculosis y lepra,enfermos curados,147,7215,clean/2007/tuberculosis-y-lepra/enfermos-curados.csv
2007,tuberculosis y lepra,fracaso terapeutico,29,663,clean/2007/tuberculosis-y-lepra/fracaso-terapeutico.csv
2007,tuberculosis y lepra,lepra paucibacilar*,17,390,clean/2007/tuberculosis-y-lepra/lepra-paucibacilar.csv
2007,tuberculosis y lepra,lepra multibacilar *,19,338,clean/2007/tuberculosis-y-lepra/lepra-multibacilar.csv
2007,violencia  intrafamiliar,intrafamiliar,231,13442,clean/2007/violencia-intrafamiliar/intrafamiliar.csv
2007,violencia  intrafamiliar,otras violencias (causas externas),152,7111,clean/2007/violencia-intrafamiliar/otras-violencias-causas-externas.csv
2007,mortalidad institucional,muerte materna,77,938,clean/2007/mortalidad-institucional/muerte-materna.csv
2007,mortalidad institucional,muerte rn menor de 7 dias,147,3206,clean/2007/mortalidad-institucional/muerte-rn-menor-de-7-dias.csv
2007,mortalidad institucional,muerte menor de 1 ano,165,3325,clean/2007/mortalidad-institucional/muerte-menor-de-1-ano.csv
2007,mortalidad institucional,muerte  menor de 5 anos por diarrea,75,1078,clean/2007/mortalidad-institucional/muerte-menor-de-5-anos-por-diarrea.csv
2007,mortalidad institucional,muerte menor de 5 anos por neumonia,62,805,clean/2007/mortalidad-institucional/muerte-menor-de-5-anos-por-neumonia.csv
2007,mortalidad institucional,muerte menor de 5 anos por otras causas,144,2534,clean/2007/mortalidad-institucional/muerte-menor-de-5-anos-por-otras-causas.csv
2007,mortalidad institucional,otras muertes en personas mayores de 5 anos,253,9779,clean/2007/mortalidad-institucional/otras-muertes-en-personas-mayores-de-5-anos.csv
2007,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),225,2532,clean/2007/salud-sexual-y-reproductiva/hemorragia-de-la-primera-mitad-del-embarazo-22-sem.csv
2007,salud sexual y reproductiva,nro. de embarazadas enflaquecidas (desnutridas),159,1044,clean/2007/salud-sexual-y-reproductiva/nro-de-embarazadas-enflaquecidas-desnutridas.csv
2007,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),286,4206,clean/2007/salud-sexual-y-reproductiva/embarazo-en-adolecente-menor-de-20-anos.csv
2007,salud sexual y reproductiva,preeclampsia severa/eclampsia,147,1124,clean/2007/salud-sexual-y-reproductiva/preeclampsia-severa-eclampsia.csv
2007,desnutricion aguda,nutricion superior (ns),254,19761,clean/2007/desnutricion-aguda/nutricion-superior-ns.csv
2007,desnutricion aguda,nutricion normal (n),254,20923,clean/2007/desnutricion-aguda/nutricion-normal-n.csv
2007,desnutricion aguda,desnutricion leve (l),254,20545,clean/2007/desnutricion-aguda/desnutricion-leve-l.csv
2007,desnutricion aguda,desnutricion moderada (m),251,18578,clean/2007/desnutricion-aguda/desnutricion-moderada-m.csv
2007,desnutricion aguda,desnutricion grave (g),232,12152,clean/2007/desnutricion-aguda/desnutricion-grave-g.csv
2007,intoxicaciones,plaguicidas,93,634,clean/2007/intoxicaciones/plaguicidas.csv
2007,intoxicaciones,otras intoxicaciones,105,714,clean/2007/intoxicaciones/otras-intoxicaciones.csv
2008,sospecha diagnostica,sarampion / rubeola,25,581,clean/2008/sospecha-diagnostica/sarampion-rubeola.csv
2008,sospecha diagnostica,tos ferina,5,189,clean/2008/sospecha-diagnostica/tos-ferina.csv
2008,sospecha diagnostica,difteria,1,77,clean/2008/sospecha-diagnostica/difteria.csv
2008,sospecha diagnostica,paralisis flacida aguda,6,182,clean/2008/sospecha-diagnostica/paralisis-flacida-aguda.csv
2008,sospecha diagnostica,fiebre amarilla,10,168,clean/2008/sospecha-diagnostica/fiebre-amarilla.csv
2008,sospecha diagnostica,dengue hemorragico,12,182,clean/2008/sospecha-diagnostica/dengue-hemorragico.csv
2008,sospecha diagnostica,dengue clasico,68,2142,clean/2008/sospecha-diagnostica/dengue-clasico.csv
2008,sospecha diagnostica,fiebre hemorrag. bol,2,84,clean/2008/sospecha-diagnostica/fiebre-hemorrag-bol.csv
2008,sospecha diagnostica,peste,1,77,clean/2008/sospecha-diagnostica/peste.csv
2008,sospecha diagnostica,menin. meningococica,5,182,clean/2008/sospecha-diagnostica/menin-meningococica.csv
2008,sospecha diagnostica,colera,1,77,clean/2008/sospecha-diagnostica/colera.csv
2008,sospecha diagnostica,enfer. por hanta virus,9,224,clean/2008/sospecha-diagnostica/enfer-por-hanta-virus.csv
2008,sospecha diagnostica,rabia humana,7,126,clean/2008/sospecha-diagnostica/rabia-humana.csv
2008,sospecha diagnostica,no de personas mordidas por animal,243,11557,clean/2008/sospecha-diagnostica/no-de-personas-mordidas-por-animal.csv
2008,sospecha diagnostica,influenza aviar - pandemica,5,161,clean/2008/sospecha-diagnostica/influenza-aviar-pandemica.csv
2008,inmunoprevenibles,tetanos neonatal,2,180,clean/2008/inmunoprevenibles/tetanos-neonatal.csv
2008,inmunoprevenibles,tetanos,17,435,clean/2008/inmunoprevenibles/tetanos.csv
2008,inmunoprevenibles,hepatitis viral,96,6885,clean/2008/inmunoprevenibles/hepatitis-viral.csv
2008,inmunoprevenibles,parotiditis,228,16380,clean/2008/inmunoprevenibles/parotiditis.csv
2008,infec. de transmision sexual,ulcera genital,162,8700,clean/2008/infec-de-transmision-sexual/ulcera-genital.csv
2008,infec. de transmision sexual,flujo uretral (uretritis),132,7005,clean/2008/infec-de-transmision-sexual/flujo-uretral-uretritis.csv
2008,infec. de transmision sexual,sida *,28,1515,clean/2008/infec-de-transmision-sexual/sida.csv
2008,otras infecciones,enfermedad diarreica aguda,323,58215,clean/2008/otras-infecciones/enfermedad-diarreica-aguda.csv
2008,otras infecciones,ira sin neumonia,323,58365,clean/2008/otras-infecciones/ira-sin-neumonia.csv
2008,otras infecciones,neumonia,318,53580,clean/2008/otras-infecciones/neumonia.csv
2008,otras infecciones,malaria,139,13020,clean/2008/otras-infecciones/malaria.csv
2008,otras infecciones,leishmaniasis,84,6285,clean/2008/otras-infecciones/leishmaniasis.csv
2008,tuberculosis y lepra,meningitis tb en menores de 5 anos,15,465,clean/2008/tuberculosis-y-lepra/meningitis-tb-en-menores-de-5-anos.csv
2008,tuberculosis y lepra,lepra paucibacilar*,15,450,clean/2008/tuberculosis-y-lepra/lepra-paucibacilar.csv
2008,tuberculosis y lepra,lepra multibacilar *,8,285,clean/2008/tuberculosis-y-lepra/lepra-multibacilar.csv
2008,tuberculosis y lepra,rafa reacciones adversas (leves y moderadas),57,1770,clean/2008/tuberculosis-y-lepra/rafa-reacciones-adversas-leves-y-moderadas.csv
2008,tuberculosis y lepra,rafa reacciones adversas (graves),14,420,clean/2008/tuberculosis-y-lepra/rafa-reacciones-adversas-graves.csv
2008,violencia  intrafamiliar,intrafamiliar/domestica,245,19665,clean/2008/violencia-intrafamiliar/intrafamiliar-domestica.csv
2008,violencia  intrafamiliar,"otras violencias (accidentes, agresiones, leer instructivo)",211,15960,clean/2008/violencia-intrafamiliar/otras-violencias-accidentes-agresiones-leer-instructivo.csv
2008,mortalidad institucional,muerte materna,69,959,clean/2008/mortalidad-institucional/muerte-materna.csv
2008,mortalidad institucional,muerte rn menor de 7 dias,164,3318,clean/2008/mortalidad-institucional/muerte-rn-menor-de-7-dias.csv
2008,mortalidad institucional,muerte menor de 1 ano,184,3724,clean/2008/mortalidad-institucional/muerte-menor-de-1-ano.csv
2008,mortalidad institucional,muerte  menor de 5 anos por diarrea,72,1015,clean/2008/mortalidad-institucional/muerte-menor-de-5-anos-por-diarrea.csv
2008,mortalidad institucional,muerte menor de 5 anos por neumonia,47,770,clean/2008/mortalidad-institucional/muerte-menor-de-5-anos-por-neumonia.csv
2008,mortalidad institucional,muerte menor de 5 anos por otras causas,158,2954,clean/2008/mortalidad-institucional/muerte-menor-de-5-anos-por-otras-causas.csv
2008,mortalidad institucional,otras muertes en mayores de 5 anos,270,10850,clean/2008/mortalidad-institucional/otras-muertes-en-mayores-de-5-anos.csv
2008,salud sexual y reproductiva,hemorragia de la primera mitad del embarazo (<22 sem),245,2832,clean/2008/salud-sexual-y-reproductiva/hemorragia-de-la-primera-mitad-del-embarazo-22-sem.csv
2008,salud sexual y reproductiva,embarazo en adolecente (menor de 20 anos),289,4802,clean/2008/salud-sexual-y-reproductiva/embarazo-en-adolecente-menor-de-20-anos.csv
2008,salud sexual y reproductiva,preeclampsia severa/eclampsia,144,1078,clean/2008/salud-sexual-y-reproductiva/preeclampsia-severa-eclampsia.csv
2008,estado nutricional,sobrepeso (s),321,38544,clean/2008/estado-nutricional/sobrepeso-s.csv
2008,estado nutricional,nutricion normal (n),323,41536,clean/2008/estado-nutricional/nutricion-normal-n.csv
2008,estado nutricional,desnutricion leve (l),321,39743,clean/2008/estado-nutricional/desnutricion-leve-l.csv
2008,estado nutricional,desnutricion moderada (m),313,32516,clean/2008/estado-nutricional/desnutricion-moderada-m.csv
2008,estado nutricional,desnutricion grave (g),285,19272,clean/2008/estado-nutricional/desnutricion-grave-g.csv
2008,estado nutricional,desnutrida,186,10043,clean/2008/estado-nutricional/desnutrida.csv
2008,estado nutricional,obesidad (o),298,24189,clean/2008/estado-nutricional/obesidad-o.csv
2008,intoxicaciones,plaguicidas,145,7545,clean/2008/intoxicaciones/plaguicidas.csv
2008,intoxicaciones,"otras intoxicaciones (drogas, farmacos, alcohol, leer instructivo)",181,11595,clean/2008/intoxicaciones/otras-intoxicaciones-drogas-farmacos-alcohol-leer-instructivo.csv
2008,talla para la edad (t/e),talla normal (t n),320,28872,clean/2008/talla-para-la-edad-t-e/talla-normal-t-n.csv
2008,talla para la edad (t/e),talla baja (tb),319,27189,clean/2008/talla-para-la-edad-t-e/talla-baja-tb.csv
2009,sospecha diagnostica,sarampion / rubeola,18,399,clean/2009/sospecha-diagnostica/sarampion-rubeola.csv
2009,sospecha diagnostica,tos ferina,5,126,clean/2009/sospecha-diagnostica/tos-ferina.csv
2009,sospecha diagnostica,difteria,1,21,clean/2009/sospecha-diagnostica/difteria.csv
2009,sospecha diagnostica,paralisis flacida aguda,12,147,clean/2009/sospecha-diagnostica/paralisis-flacida-aguda.csv
2009,sospecha diagnostica,fiebre amarilla,5,56,clean/2009/sospecha-diagnostica/fiebre-amarilla.csv
2009,sospecha diagnostica,dengue hemorragico,35,455,clean/2009/sospecha-diagnostica/dengue-hemorragico.csv
2009,sospecha diagnostica,dengue clasico,152,4844,clean/2009/sospecha-diagnostica/dengue-clasico.csv
2009,sospecha diagnostica,fiebre hemorrag. bol,2,28,clean/2009/sospecha-diagnostica/fiebre-hemorrag-bol.csv
2009,sospecha diagnostica,peste,1,21,clean/2009/sospecha-diagnostica/peste.csv
2009,sospecha diagnostica,menin. meningococica,8,154,clean/2009/sospecha-diagnostica/menin-meningococica.csv
2009,sospecha diagnostica,colera,1,21,clean/2009/sospecha-diagnostica/colera.csv
2009,sospecha diagnostica,enfer. por hanta virus,6,273,clean/2009/sospecha-diagnostica/enfer-por-hanta-virus.csv
2009,sospecha diagnostica,rabia humana,6,70,clean/2009/sospecha-diagnostica/rabia-humana.csv
2009,sospecha diagnostica,no de personas mordidas por animal,256,12425,clean/2009/sospecha-diagnostica/no-de-personas-mordidas-por-animal.csv
2009,sospecha diagnostica,influenza aviar - pandemica,45,931,clean/2009/sospecha-diagnostica/influenza-aviar-pandemica.csv
2009,inmunoprevenibles,tetanos neonatal,1,60,clean/2009/inmunoprevenibles/tetanos-neonatal.csv
